Page path and screen class,Views,Users,Views per user,Average engagement time,Event count,Key events,Total revenue
/en,754,568,1,16,2534,0,0
/nl,431,296,1,25,1468,0,0
/nl/vacatures-techniekers,366,342,1,14,1420,0,0
/nl/vacatures-projectingenieurs,256,222,1,17,1069,0,0
/en/contact,231,189,1,14,614,0,0
/en/about-axon,167,122,1,19,363,0,0
/nl/jobs,164,115,1,28,391,0,0
/en/products-solutions,130,100,1,14,258,0,0
/nl/contact,113,82,1,26,242,0,0
/fr,109,88,1,17,382,0,0
/nl/over-axon,98,74,1,26,211,0,0
/en/jobs,85,62,1,18,206,0,0
/nl/references,72,29,2,45,147,0,0
/en/blog/what-wet-bulb-temperature,67,57,1,84,250,0,0
/nl/producten-oplossingen,62,53,1,18,134,0,0
/nl/blog/hoe-werkt-een-rto,56,46,1,122,207,0,0
/en/references,54,29,2,21,113,0,0
/en/pca-technieker,44,39,1,19,101,0,0
/fr/contact,37,33,1,17,86,0,0
/nl/producten-oplossingen/industriele-waterbehandeling,33,28,1,20,104,0,0
/fr/blog/economie-deau-en-utilisant-des-tours-de-refroidissement-adiabatiques,30,15,2,19,91,0,0
/fr/produits-solutions,30,24,1,7,58,0,0
/en/technical-sales-engineer-service-cooling-towers,28,28,1,5,77,0,0
/403.html,26,17,2,6,75,0,0
/nl/downloads,25,21,1,8,50,0,0
/en/blog,24,19,1,15,48,0,0
/en/project_ingenieur_pca_lucht,24,24,1,13,58,0,0
/nl/producten-oplossingen/luchtzuivering,24,21,1,15,59,0,0
/nl/search-page,24,10,2,15,75,0,0
/en/products-solutions/fluid-cooling-systems,23,20,1,14,54,0,0
/en/products-solutions/process-control-automation,23,16,1,12,55,0,0
/fr/a-propos-daxon,23,20,1,20,50,0,0
/en/downloads,20,17,1,14,42,0,0
/en/node/879,20,18,1,13,53,0,0
/en/products-solutions/industrial-fans,20,19,1,9,58,0,0
/en/project_ingenieur_pca_water,20,18,1,6,52,0,0
/en/vacature-meestergast-werven-moeskroen,20,19,1,1,58,0,0
/nl/junior-technisch-tekenaar,20,12,2,50,40,0,0
/nl/producten-oplossingen/industriele-ventilatoren,20,13,2,51,56,0,0
/nl/project_ingenieur_PCA,19,14,1,22,36,0,0
/en/products-solutions/global-water-treatment,18,15,1,14,54,0,0
/fr/references,18,10,2,21,39,0,0
/en/axon-group-email-disclaimer,17,17,1,6,55,0,0
/en/products-solutions/air-pollution-control,17,16,1,23,41,0,0
/en/blog/how-does-rto-work,16,15,1,53,63,0,0
/en/junior-technisch-tekenaar,16,12,1,8,48,0,0
/nl/automation-engineer-0,16,13,1,31,32,0,0
/nl/blog/wat-de-natte-bol-temperatuur,16,16,1,58,65,0,0
/nl/pca-technieker,16,13,1,23,35,0,0
/404.html,15,15,1,1,47,0,0
/en/node/868,15,14,1,4,40,0,0
/en/privacy,15,14,1,4,39,0,0
/en/projectingenieur-koeltorens,15,14,1,3,41,0,0
/nl/producten-oplossingen/procescontrole-automatisering,14,12,1,15,36,0,0
/nl/projectingenieur-luchtbehandeling,14,12,1,19,27,0,0
/en/node/857,13,12,1,4,39,0,0
/nl/producten-oplossingen/koeltorens,13,13,1,10,38,0,0
/nl/node/872,12,10,1,25,24,0,0
/nl/blog,11,10,1,15,22,0,0
/en/blog/difference-between-induced-or-forced-draft,10,8,1,16,35,0,0
/nl/blog/bespaar-water-met-adiabatische-koeltorens,10,7,1,75,36,0,0
/nl/blog/koeltorens-met-open-gesloten-hybride-koelcircuit,10,8,1,35,35,0,0
/en/about-axon/our-certificates,9,9,1,2,19,0,0
/fr/blog/quelle-est-la-température-de-bulbe-humide,9,6,2,13,28,0,0
/nl/node/838,9,6,2,43,20,0,0
/nl/project_ingenieur_pca_lucht,9,7,1,17,19,0,0
/en/search-page,8,7,1,11,22,0,0
/fr/blog/comment-fonctionne-un-rto,8,7,1,90,30,0,0
/fr/downloads,8,6,1,24,16,0,0
/fr/jobs,8,6,1,23,14,0,0
/fr/produits-solutions/tours-de-refroidissement,8,7,1,9,24,0,0
/fr/reference/laveur-de-gaz-vertical-traitement-gouttelettes-acide-sulfurique,8,8,1,45,34,0,0
/nl/about-axon/onze-certificaten,8,8,1,9,16,0,0
/nl/hr-marketing-officer,8,6,1,20,18,0,0
/de,7,6,1,10,25,0,0
/en/blog/maintenance-ro-membranes,7,4,2,93,22,0,0
/nl/blog/het-verschil-tussen-statische-dynamische-en-totale-druk,7,7,1,19,30,0,0
/nl/senior-internal-sales-if,7,3,2,89,13,0,0
/en/blog/4-steps-clean-dies-safely,6,4,2,22,18,0,0
/nl/blog/frank-onze-gevestigde-waarde,6,6,1,31,12,0,0
/nl/vacature-meestergast-werven-moeskroen,6,4,2,21,12,0,0
/de/references,5,1,5,21,10,0,0
/en/blog/almeco-and-pca-buy-new-bridge-crane-and-invest-future,5,5,1,11,13,0,0
/en/cookies,5,5,1,0,15,0,0
/en/disclaimer,5,3,2,1,12,0,0
/en/download-categories/water-treatment-products-and-service,5,2,3,277,11,0,0
/en/subscribe-our-newsletter,5,5,1,2,15,0,0
/fr/blog/comment-fonctionne-un-laveur-de-gaz,5,4,1,219,19,0,0
/nl/blog/almeco-en-pca-investeren-de-toekomst-door-middel-van-nieuwe-rolbrug,5,5,1,28,12,0,0
/nl/blog/hoe-werkt-een-adiabatische-koeler,5,3,2,78,18,0,0
/nl/blog/hoe-werkt-een-biofilter,5,5,1,16,20,0,0
/nl/stille-koeltorens,5,4,1,36,20,0,0
/de/kontakt,4,2,2,12,9,0,0
/de/node/236,4,3,1,20,9,0,0
/en/blog/pca-tackles-pfas,4,3,1,17,13,0,0
/en/rto-serves-double-purpose-steel-industry,4,4,1,222,20,0,0
/en/wind-tunnel-bicycle-testing,4,3,1,15,16,0,0
/fr/blog/la-solution-pour-lacide-sulfurique-dans-les-eaux-usées,4,4,1,35,15,0,0
/fr/blog/tours-de-refroidissement-à-circuit-ouvert-fermé-ou-hybride,4,3,1,47,13,0,0
/fr/produits-solutions/depollution-de-lair,4,4,1,13,11,0,0
/fr/produits-solutions/traitement-des-eaux-industrielles,4,2,2,22,10,0,0
/fr/produits-solutions/ventilateurs-industriels,4,4,1,32,14,0,0
/fr/traitement-physico-chimique-des-eaux-usees-a-gustav-wolf,4,4,1,16,17,0,0
/fr/vie-privee,4,3,1,15,11,0,0
/nl/blog/pilootinstallatie-vacuümverdamper,4,3,1,14,16,0,0
/nl/windtunnel-voor-het-testen-van-fietsen,4,3,1,14,13,0,0
/en/axon,3,3,1,3,10,0,0
/en/blog/difference-between-static-dynamic-and-total-pressure,3,3,1,19,11,0,0
/en/blog/save-water-using-adiabatic-cooling-towers,3,1,3,0,9,0,0
/en/brochure-axon,3,2,2,14,7,0,0
/en/centrifugal-fans-brochure,3,2,2,5,9,0,0
/en/download-categories/fluid-cooling-systems,3,1,3,10,6,0,0
